file_id,type,label
1,php,white
2,jsp,white
3,php,black
4,jsp,white
5,php,white
6,php,white
7,php,black
8,php,white
9,php,white
10,php,white
11,php,white
12,php,white
13,php,white
14,php,white
15,php,black
16,php,white
17,php,white
18,php,white
19,php,black
20,php,white
21,php,white
22,php,white
23,php,white
24,php,black
25,php,white
26,jsp,white
27,php,white
28,php,white
29,php,black
30,jsp,white
31,php,white
32,php,white
33,php,white
34,php,white
35,php,white
36,php,white
37,php,white
38,php,black
39,php,white
40,php,white
41,php,black
42,php,white
43,php,black
44,php,white
45,php,white
46,php,black
47,php,white
48,php,white
49,php,white
50,php,white
51,php,white
52,php,white
53,php,white
54,jsp,white
55,php,black
56,php,white
57,php,white
58,php,white
59,php,white
60,jsp,white
61,php,black
62,php,white
63,php,white
64,php,black
65,php,white
66,php,white
67,php,white
68,jsp,black
69,php,white
70,php,white
71,php,white
72,php,black
73,php,white
74,php,black
75,php,white
76,php,white
77,php,white
78,php,white
79,php,white
80,php,white
81,php,black
82,php,black
83,jsp,white
84,php,white
85,php,white
86,php,white
87,php,white
88,jsp,black
89,php,white
90,php,white
91,jsp,black
92,php,white
93,php,white
94,php,white
95,php,black
96,php,white
97,jsp,white
98,php,white
99,php,white
100,php,black
101,php,white
102,php,black
103,php,white
104,php,white
105,php,black
106,php,white
107,php,white
108,php,white
109,php,white
110,php,white
111,php,white
112,php,white
113,php,white
114,php,white
115,php,white
116,php,white
117,php,white
118,jsp,white
119,php,white
120,jsp,white
121,php,black
122,jsp,white
123,php,white
124,php,white
125,php,white
126,php,white
127,php,white
128,php,white
129,jsp,white
130,php,black
131,php,white
132,jsp,black
133,php,white
134,php,black
135,php,white
136,php,white
137,php,white
138,php,white
139,php,white
140,php,white
141,jsp,white
142,php,white
143,php,white
144,php,black
145,php,white
146,jsp,black
147,php,white
148,php,white
149,php,white
150,php,black
151,php,white
152,jsp,white
153,php,white
154,php,white
155,php,black
156,php,white
157,php,white
158,php,white
159,php,white
160,php,white
161,php,white
162,php,black
163,php,white
164,php,white
165,php,white
166,php,white
167,php,white
168,php,white
169,php,white
170,php,black
171,php,white
172,php,white
173,php,white
174,php,black
175,php,white
176,php,white
177,php,white
178,php,black
179,php,white
180,php,white
181,php,white
182,php,white
183,php,white
184,php,white
185,php,white
186,php,white
187,php,white
188,php,white
189,php,black
190,php,white
191,jsp,white
192,php,black
193,php,white
194,php,white
195,php,white
196,php,black
197,php,white
198,php,white
199,php,white
200,php,black
201,php,white
202,php,white
203,php,white
204,php,white
205,jsp,white
206,php,white
207,php,white
208,php,white
209,php,black
210,php,white
211,jsp,black
212,php,black
213,php,black
214,php,white
215,php,white
216,php,white
217,jsp,black
218,php,white
219,php,white
220,php,white
221,php,white
222,php,white
223,jsp,white
224,php,white
225,php,white
226,php,white
227,php,white
228,php,white
229,php,black
230,php,white
231,php,white
232,php,white
233,php,white
234,php,white
235,jsp,white
236,php,white
237,php,white
238,php,white
239,php,white
240,php,white
241,php,white
242,php,white
243,php,white
244,php,white
245,php,white
246,php,white
247,php,white
248,php,black
249,php,white
250,php,white
251,php,white
252,php,white
253,php,black
254,php,white
255,jsp,white
256,php,white
257,php,white
258,php,black
259,php,white
260,php,white
261,php,white
262,jsp,white
263,php,white
264,php,black
265,php,black
266,php,white
267,php,white
268,php,white
269,php,black
270,jsp,black
271,php,white
272,php,white
273,php,white
274,php,black
275,php,black
276,php,white
277,php,white
278,jsp,white
279,php,white
280,php,white
281,php,white
282,php,black
283,php,white
284,php,white
285,php,white
286,jsp,black
287,php,white
288,php,white
289,php,white
290,php,white
291,php,white
292,php,white
293,php,white
294,php,white
295,php,white
296,php,white
297,php,white
298,php,white
299,php,white
300,php,white
301,php,white
302,php,white
303,php,white
304,php,white
305,php,white
306,php,white
307,php,white
308,php,white
309,php,white
310,php,white
311,php,white
312,jsp,black
313,php,white
314,php,white
315,php,black
316,jsp,black
317,php,white
318,jsp,black
319,php,black
320,php,white
321,php,white
322,php,white
323,php,black
324,php,white
325,php,white
326,php,white
327,php,black
328,php,white
329,php,white
330,php,white
331,php,white
332,php,white
333,php,white
334,php,white
335,php,white
336,php,black
337,php,white
338,php,white
339,php,black
340,php,white
341,php,black
342,php,white
343,php,white
344,jsp,white
345,php,white
346,php,white
347,jsp,white
348,php,white
349,php,white
350,php,white
351,php,white
352,php,white
353,php,white
354,php,white
355,php,white
356,php,white
357,php,white
358,php,white
359,php,white
360,php,white
361,php,white
362,php,white
363,php,white
364,php,white
365,php,white
366,php,white
367,php,white
368,php,white
369,php,white
370,php,white
371,php,white
372,php,white
373,php,black
374,php,white
375,php,white
376,php,white
377,php,black
378,php,white
379,php,white
380,php,white
381,jsp,white
382,php,white
383,php,black
384,php,white
385,php,white
386,php,white
387,php,white
388,jsp,white
389,jsp,white
390,php,white
391,jsp,white
392,php,white
393,php,white
394,php,white
395,php,black
396,php,black
397,php,white
398,php,white
399,jsp,white
400,php,white
401,php,white
402,php,white
403,php,black
404,php,black
405,php,white
406,php,black
407,php,white
408,php,white
409,php,white
410,php,white
411,php,black
412,jsp,white
413,php,white
414,php,white
415,php,white
416,php,white
417,php,white
418,php,white
419,php,white
420,php,white
421,php,white
422,php,white
423,php,white
424,php,white
425,php,black
426,jsp,black
427,php,black
428,jsp,white
429,php,white
430,php,white
431,php,black
432,php,white
433,php,white
434,php,white
435,php,white
436,php,black
437,jsp,white
438,jsp,white
439,php,white
440,php,white
441,jsp,black
442,php,white
443,jsp,white
444,php,white
445,php,white
446,jsp,white
447,php,white
448,php,white
449,php,white
450,php,white
451,php,white
452,php,white
453,php,white
454,php,white
455,php,white
456,jsp,white
457,php,white
458,php,white
459,php,white
460,php,white
461,jsp,black
462,php,white
463,php,white
464,php,white
465,php,white
466,php,white
467,php,black
468,php,white
469,php,white
470,php,white
471,php,white
472,php,white
473,php,white
474,php,black
475,php,black
476,jsp,white
477,php,white
478,php,black
479,php,black
480,php,white
481,php,white
482,php,black
483,php,white
484,php,white
485,php,white
486,php,white
487,php,white
488,php,white
489,php,white
490,php,white
491,php,white
492,php,white
493,php,white
494,php,white
495,php,white
496,php,white
497,php,white
498,jsp,white
499,php,white
500,php,white
501,php,white
502,php,white
503,php,black
504,php,white
505,php,white
506,php,white
507,php,white
508,php,white
509,php,white
510,php,white
511,jsp,black
512,php,white
513,php,white
514,php,white
515,php,black
516,php,white
517,php,black
518,php,white
519,php,white
520,php,white
521,php,white
522,php,white
523,php,white
524,php,white
525,php,white
526,php,white
527,php,white
528,php,white
529,php,white
530,jsp,white
531,php,white
532,php,white
533,php,white
534,php,white
535,php,white
536,jsp,white
537,php,white
538,php,white
539,php,white
540,php,white
541,php,white
542,php,white
543,php,white
544,php,black
545,jsp,white
546,jsp,white
547,jsp,white
548,jsp,white
549,php,black
550,php,white
551,jsp,white
552,php,white
553,php,white
554,php,white
555,php,white
556,php,white
557,php,white
558,php,white
559,php,black
560,php,white
561,php,white
562,php,white
563,php,white
564,php,white
565,php,white
566,jsp,white
567,php,white
568,php,white
569,php,white
570,php,white
571,php,white
572,php,white
573,php,black
574,php,black
575,php,white
576,php,white
577,php,white
578,php,white
579,jsp,white
580,php,black
581,php,black
582,jsp,black
583,php,white
584,php,white
585,php,white
586,php,white
587,php,white
588,php,black
589,php,black
590,php,white
591,jsp,white
592,php,white
593,php,black
594,php,black
595,php,white
596,php,white
597,php,black
598,php,white
599,php,white
600,jsp,white
601,jsp,white
602,php,black
603,php,white
604,php,white
605,php,black
606,php,black
607,php,black
608,php,white
609,php,white
610,php,black
611,php,white
612,jsp,white
613,php,white
614,php,white
615,php,white
616,php,black
617,jsp,white
618,php,white
619,php,white
620,php,white
621,php,white
622,php,black
623,php,white
624,php,white
625,php,white
626,php,white
627,php,white
628,php,black
629,php,black
630,php,white
631,php,white
632,php,black
633,jsp,white
634,php,white
635,php,white
636,php,white
637,php,white
638,php,white
639,php,white
640,php,white
641,jsp,white
642,jsp,black
643,php,white
644,php,white
645,php,white
646,php,white
647,php,white
648,php,white
649,php,white
650,php,white
651,php,black
652,php,white
653,php,white
654,php,white
655,php,white
656,php,white
657,php,white
658,jsp,white
659,php,white
660,php,white
661,php,white
662,php,white
663,php,white
664,php,white
665,php,white
666,php,white
667,php,white
668,php,black
669,php,white
670,php,white
671,php,white
672,php,black
673,php,white
674,php,white
675,php,white
676,php,black
677,php,white
678,php,white
679,php,white
680,php,white
681,php,white
682,php,white
683,php,black
684,php,white
685,php,black
686,php,white
687,php,white
688,php,white
689,jsp,black
690,jsp,white
691,jsp,white
692,php,black
693,php,white
694,php,black
695,php,white
696,php,black
697,php,white
698,php,white
699,php,white
700,jsp,white
701,php,white
702,php,white
703,jsp,black
704,php,white
705,php,white
706,php,white
707,php,white
708,php,black
709,php,white
710,php,white
711,php,white
712,php,black
713,php,white
714,php,white
715,php,white
716,php,white
717,php,black
718,jsp,white
719,jsp,white
720,php,white
721,php,white
722,php,black
723,php,white
724,php,white
725,php,white
726,php,white
727,php,white
728,php,white
729,php,black
730,php,white
731,php,white
732,php,white
733,php,white
734,php,white
735,php,white
736,jsp,white
737,php,white
738,php,white
739,php,white
740,php,white
741,php,white
742,php,white
743,php,white
744,php,black
745,php,white
746,php,white
747,php,white
748,php,white
749,jsp,black
750,php,black
751,php,white
752,php,white
753,php,white
754,php,white
755,php,white
756,php,black
757,php,white
758,php,white
759,jsp,white
760,jsp,white
761,php,black
762,php,white
763,php,white
764,php,white
765,php,white
766,php,white
767,php,white
768,php,black
769,php,white
770,php,black
771,php,white
772,php,white
773,php,white
774,php,white
775,php,white
776,php,white
777,php,white
778,jsp,white
779,php,white
780,php,white
781,php,white
782,php,black
783,php,white
784,php,white
785,php,white
786,php,white
787,php,white
788,php,white
789,php,white
790,jsp,white
791,php,white
792,php,white
793,php,white
794,php,black
795,php,white
796,php,black
797,php,white
798,php,white
799,jsp,white
800,jsp,white
801,php,white
802,php,white
803,php,black
804,php,white
805,php,white
806,php,white
807,php,white
808,jsp,black
809,php,white
810,php,white
811,php,white
812,php,white
813,php,white
814,jsp,white
815,php,white
816,php,white
817,php,black
818,php,white
819,php,white
820,php,black
821,php,white
822,php,black
823,php,white
824,php,white
825,jsp,black
826,php,white
827,jsp,white
828,jsp,black
829,php,white
830,php,white
831,php,white
832,php,white
833,jsp,white
834,php,white
835,jsp,black
836,php,white
837,jsp,white
838,php,white
839,php,white
840,php,white
841,php,white
842,php,white
843,jsp,white
844,php,white
845,php,white
846,jsp,white
847,php,white
848,php,white
849,php,white
850,php,white
851,php,white
852,php,white
853,jsp,black
854,php,white
855,php,white
856,php,white
857,php,white
858,php,white
859,jsp,white
860,php,white
861,php,white
862,jsp,white
863,jsp,white
864,php,black
865,php,white
866,php,white
867,php,white
868,php,white
869,php,white
870,php,black
871,php,white
872,php,white
873,php,white
874,php,white
875,php,white
876,php,black
877,php,white
878,php,white
879,php,white
880,php,white
881,php,white
882,php,white
883,php,white
884,php,white
885,php,white
886,php,white
887,php,white
888,php,white
889,php,white
890,php,white
891,php,white
892,php,white
893,jsp,white
894,php,black
895,jsp,white
896,php,white
897,php,white
898,php,white
899,php,white
900,php,white
901,php,white
902,php,white
903,php,white
904,php,white
905,php,white
906,php,white
907,php,white
908,php,white
909,php,white
910,php,white
911,php,black
912,php,white
913,php,white
914,php,black
915,php,black
916,php,white
917,php,black
918,jsp,white
919,php,white
920,php,white
921,php,white
922,php,white
923,php,white
924,php,white
925,php,white
926,php,white
927,php,white
928,php,white
929,php,black
930,php,white
931,jsp,white
932,php,white
933,php,white
934,jsp,white
935,php,white
936,jsp,black
937,php,white
938,php,white
939,php,white
940,php,white
941,php,white
942,php,white
943,php,white
944,php,white
945,php,black
946,php,black
947,jsp,black
948,php,black
949,php,white
950,jsp,white
951,php,white
952,php,white
953,php,black
954,php,black
955,php,white
956,php,black
957,php,white
958,php,white
959,php,black
960,php,white
961,php,black
962,php,black
963,php,white
964,php,white
965,php,white
966,php,white
967,php,white
968,php,white
969,php,white
970,php,white
971,php,black
972,php,white
973,php,white
974,php,black
975,php,black
976,php,black
977,php,white
978,php,white
979,php,white
980,php,black
981,php,black
982,php,white
983,php,white
984,php,white
985,php,white
986,php,white
987,php,white
988,php,black
989,php,white
990,jsp,white
991,php,white
992,php,white
993,php,white
994,php,white
995,php,white
996,php,white
997,php,black
998,php,white
999,php,black
1000,php,black
1001,php,white
1002,php,white
1003,jsp,white
1004,php,white
1005,php,black
1006,php,white
1007,php,white
1008,php,black
1009,php,white
1010,php,white
1011,php,white
1012,php,white
1013,php,white
1014,jsp,white
1015,jsp,white
1016,php,white
1017,php,white
1018,php,white
1019,php,white
1020,php,white
1021,php,white
1022,php,white
1023,php,white
1024,php,white
1025,php,white
1026,php,white
1027,php,white
1028,php,white
1029,php,black
1030,php,white
1031,php,black
1032,php,white
1033,php,white
1034,php,white
1035,php,white
1036,jsp,white
1037,php,white
1038,php,black
1039,php,white
1040,php,black
1041,php,black
1042,jsp,black
1043,php,white
1044,jsp,white
1045,php,white
1046,jsp,black
1047,php,white
1048,php,white
1049,php,white
1050,php,white
1051,php,black
1052,jsp,black
1053,jsp,white
1054,php,black
1055,php,black
1056,php,white
1057,jsp,white
